,ACCIDENT_YEAR,BICYCLE_ACCIDENT,COLLISION_DATE,COLLISION_SEVERITY,COLLISION_TIME,COUNT_BICYCLIST_INJURED,COUNT_BICYCLIST_KILLED,DAY_OF_WEEK,DIRECTION,DISTANCE,INTERSECTION,LATITUDE,LONGITUDE,NUMBER_INJURED,NUMBER_KILLED,PRIMARY_RD,PROC_DATE,SECONDARY_RD,WEATHER_1,MONTH,DAY
1033,2018,Y,20181009,3,913,1,0,2,,0.0,Y,37.766249,-122.399787,1,0,16TH ST,20181206,WISCONSIN ST,A,10,09
1034,2018,Y,20181017,3,927,1,0,3,,0.0,Y,37.77179,-122.423649,1,0,MARKET ST,20181207,OCTAVIA ST,A,10,17
1035,2018,Y,20181013,3,921,1,0,6,S,233.0,N,37.754098,-122.414235,1,0,FOLSOM ST,20181207,23RD ST,A,10,13
1036,2018,Y,20181007,4,1413,1,0,7,W,100.0,N,37.784151,-122.410966,1,0,EDDY ST,20181206,TAYLOR ST,A,10,07
1037,2018,Y,20181012,3,1322,1,0,5,,0.0,Y,37.787023,-122.418287,1,0,LARKIN ST,20181213,POST ST,A,10,12
1038,2018,Y,20181028,4,1449,1,0,7,E,110.0,N,37.782038,-122.40116,1,0,FOLSOM ST,20181211,4TH ST,A,10,28
1039,2018,Y,20181002,3,1356,1,0,2,,0.0,Y,37.751747,-122.406147,1,0,POTRERO ST,20181224,25TH ST,A,10,02
1040,2018,Y,20181007,2,127,1,0,7,,0.0,Y,37.73484,-122.390762,1,0,3RD ST,20181211,OAKDALE AV,A,10,07
1041,2018,Y,20181007,3,1755,1,0,7,S,143.0,N,37.79919,-122.39778,2,0,EMBARCADERO NORTH,20181210,BROADWAY,A,10,07
1042,2018,Y,20181003,2,905,1,0,3,S,40.0,N,37.782597,-122.430727,1,0,WEBSTER ST,20181211,ELLIS ST,A,10,03
1043,2018,Y,20181003,4,1735,1,0,3,N,60.0,N,37.77706,-122.395036,1,0,4TH ST,20181211,TOWNSEND ST,A,10,03
1044,2018,Y,20181013,3,1056,1,0,6,W,125.0,N,37.776253,-122.427926,1,0,HAYES ST,20181211,BUCHANAN ST,A,10,13
1045,2018,Y,20181008,3,1600,1,0,1,,0.0,Y,37.780719,-122.507901,1,0,SEAL ROCK DR,20181210,ALTA MAR,A,10,08
1046,2018,Y,20181010,3,819,1,0,3,,0.0,Y,37.742819,-122.421672,1,0,MISSION ST,20181211,GODEUS ST,A,10,10
1047,2018,Y,20181010,4,2030,1,0,3,,0.0,Y,37.773137,-122.43748,1,0,OAK ST,20181211,DIVISADERO ST,A,10,10
1048,2018,Y,20181012,4,1237,1,0,5,S,342.0,N,37.757957,-122.388238,1,0,3RD ST,20181212,22ND ST,A,10,12
1049,2018,Y,20181011,3,908,1,0,4,,0.0,Y,37.789616,-122.420498,1,0,POLK ST,20190104,PINE ST,B,10,11
1050,2018,Y,20181001,4,1237,1,0,1,S,342.0,N,37.757957,-122.388238,1,0,3RD ST,20181211,22ND ST,A,10,01
1051,2018,Y,20181004,4,843,1,0,4,W,172.0,N,37.773661,-122.425714,1,0,PAGE ST,20181210,LAGUNA ST,A,10,04
1052,2018,Y,20181006,2,1333,1,0,6,E,64.0,N,37.803728,-122.428398,1,0,BAY ST,20190322,GOUGH ST,A,10,06
1053,2018,Y,20181018,3,1318,1,0,4,,0.0,Y,37.77588,-122.41515,1,0,WASHBURN ST,20181207,MISSION ST,A,10,18
1054,2018,Y,20181031,2,1053,1,0,3,,0.0,Y,37.738056,-122.40686,1,0,BAYSHORE BL,20181210,INDUSTRIAL ST,A,10,31
1055,2018,Y,20181024,4,2232,1,0,3,S,6.0,N,37.792639,-122.404438,1,0,KEARRY ST,20181210,CALIFORNIA ST,A,10,24
1056,2018,Y,20181028,3,2016,1,0,7,W,22.0,N,37.777709,-122.404625,1,0,6TH ST,20181207,CLARA ST,A,10,28
1057,2018,Y,20181022,3,1000,1,0,1,S,207.0,N,37.768149,-122.422214,1,0,VALENCIA ST,20181210,14TH ST,A,10,22
1058,2018,Y,20181022,4,1327,1,0,1,W,8.0,N,37.777799,-122.400303,1,0,BRYANT ST,20181210,5TH ST,A,10,22
1059,2018,Y,20181007,3,1805,1,0,7,,0.0,Y,37.765872,-122.466431,2,0,LINCOLN WY,20181210,9TH AV,A,10,07
1060,2018,Y,20181017,4,1640,1,0,3,N,75.0,N,37.764908,-122.421885,1,0,VALENCIA ST,20181207,16TH ST,A,10,17
1061,2018,Y,20181029,3,1730,1,0,1,,0.0,Y,37.72815,-122.434942,1,0,ALEMANY BL,20181210,COTTER ST,A,10,29
1062,2018,Y,20181009,3,2004,1,0,2,E,103.0,N,37.763245,-122.422759,1,0,17TH ST,20181207,ALBION ST,A,10,09
1063,2018,Y,20181003,3,941,1,0,3,,0.0,Y,37.777799,-122.400303,1,0,5TH ST,20181210,BRYANT ST,A,10,03
1064,2018,Y,20181030,4,820,1,0,2,,0.0,Y,37.770945,-122.447131,1,0,PAGE ST,20181210,ASHBURY ST,A,10,30
1065,2018,Y,20181031,4,2215,1,0,3,,0.0,Y,37.765047,-122.419667,1,0,16TH ST,20181210,MISSION ST,A,10,31
1066,2018,Y,20181027,2,950,1,0,6,,0.0,Y,37.798952,-122.435878,1,0,GREENWHICH ST,20181207,FILLMORE ST,A,10,27
1067,2018,Y,20181025,4,1240,1,0,4,S,422.0,N,37.782452,-122.475261,1,0,16TH AV,20181210,CLEMENT ST,A,10,25
1068,2018,Y,20181027,4,2205,1,0,6,W,95.0,N,37.77179,-122.423649,1,0,MARKET ST,20181207,OCTAVIA ST,A,10,27
1069,2018,Y,20181004,4,911,1,0,4,S,200.0,N,37.794674,-122.399579,1,0,EMBARCADERO,20181207,BAY ST,A,10,04
1070,2018,Y,20181026,4,1422,1,0,5,,0.0,Y,37.781694,-122.418906,1,0,POLK ST,20181206,ELM ST,A,10,26
